id,customer_message,suggested_intent,human_intent,should_escalate,ambiguous,labeling_notes
GS_0000,I can’t Import music from my computer like my local files won’t play on desktop Spotify also the local files playlist have only imported with all songs on my iPhone not iPod or iPad they won’t play,playback_issue,,False,
GS_0001,"Cool that seemed to do the trick for now. Whole song, no skip. Thank you! Zee",playback_issue,,True,ambiguous - matches multiple intent patterns
GS_0002,No ! That was just an ITunes Normal subscription where I could listen to songs and download them to listen offline I didn’t buy any songs on iTunes,premium_billing,,True,ambiguous - matches multiple intent patterns
GS_0003,"Thanks for getting back to me. I tried logging in on a different iOS device and got the same message, and the message also appears when logging in with just my username + password instead of email + password.",account_login,,True,ambiguous - matches multiple intent patterns
GS_0004,"For me, as soon as I logged in it would log me out (in Chrome). I switched to Firefox and was able to log in. Makes me think something is cached weird.",account_login,,False,
GS_0005,"my sisters phone is very broken so I can’t get a screen shot of hers, but this is mine and her downloaded page is above podcasts and below artists https://t.co/ncW0VAfi90",app_bug,,True,ambiguous - matches multiple intent patterns
GS_0006,"Also, I have a persistent issue with the offline songs for my singular devicr for Android. Cache acting up again, need to re-sync all he whole 900+ songs that I have which is a total pain. Everybody has had this issue and you know it.",download_offline,,False,
GS_0007,The album is not currently on Spotify and I desperately need it to be. cc:,general_inquiry,,False,
GS_0008,Thank you so much!,general_inquiry,,False,
GS_0009,"iPhone 8, iOS 11.0.3, Spotify version 8.4.22.515. Thank you!",general_inquiry,,False,
GS_0010,How do I find my username if I've always logged in with Facebook ? Thanks :),account_login,,True,ambiguous - matches multiple intent patterns
GS_0011,"i tried and it's still the same... moreover, my song history is always empty, so I can't find songs from previous Discover playlists :(",content_search,,False,
GS_0012,What you mean it's from 2005! How is it not available to y'all yet,content_search,,False,
GS_0013,yep it’s the default on both !,general_inquiry,,False,
GS_0014,Error 404????? Lol,app_bug,,False,
GS_0015,"the issue has no surfaced on Mac OS, my iPhone and Mac Spotify desktop client can no longer play Grimes https://t.co/ZdVTYh5YeI",general_inquiry,,False,
GS_0016,"I apologize, but my problem is back. It was shuffleing my songs this morning on my way to work, but now it is not working again for whatever reason. It’s doing the same thing as before where the shuffle light goes off as soon as the song changes. Please help!",playback_issue,,True,ambiguous - matches multiple intent patterns
GS_0017,Sweet. I forgot about that tab. Sorry to bother you with my silly question. You guys are the best!!,account_login,,False,
GS_0018,I've tried this and it still does not work.,app_bug,,False,
GS_0019,Wondering why Loreens new cd Ride are not available on for spotify france?we have 2 singles and the ep from this summer.i have had the same problem with new music from other swedish artists before..,content_search,,False,
GS_0020,"Well, let's wait and hope that very soon it will appear in Russia. And thanks for the answer)",general_inquiry,,False,
GS_0021,I haven’t had premium before but can’t get it as it say unable to do via a virgin phone.,premium_billing,,False,
GS_0022,Not at the same time. I linked my Spotify account (part of the Family plan) to my Echo and linked my Sonos to my Echo.,premium_billing,,False,
GS_0023,"Tried it, doesn't work.",app_bug,,False,
GS_0024,Thanks for this information. I'm now trying to play music on the tv via Spotify Connect on my phone but the tv isn't popping up as a device? My phone also says download Spotify app to the tv but that link you provided says I don't have to?,download_offline,,True,ambiguous - matches multiple intent patterns
GS_0025,"Hey! It's resolved now - just looks as though there was a bloop in my ISP when connecting to Spotify. Btw, is that a template message in LSW/Lithium Response?",playback_issue,,False,
GS_0026,That’s how it looks now. I can’t find any daily mix’s https://t.co/vOIhDLMFP6,content_search,,False,
GS_0027,"I'm not sure what happened, but shortly after I sent my last tweet, I tried logging in in Firefox and it worked. Then when I went back to Chrome it worked again there too, so it's all good now.",account_login,,False,
GS_0028,"but I can't find preferences anymore, so I just blocked all Spotify notifications instead,",content_search,,False,
GS_0029,"Thanks but that didn’t answer WHY there’s a limit. I have 16gb free on my phone and want to download at least 5,555 songs not 3,333.",download_offline,,True,ambiguous - matches multiple intent patterns
GS_0030,yes. my username is geetyakbari,account_login,,False,
GS_0031,My password isn’t working and I️ have tried both emails. Trying to reset it.,account_login,,False,
GS_0032,Just trying to download the current version from the Spotify site. I have Windows 8.1.,download_offline,,False,
GS_0033,"Stand down. After a reinstall of the app, login logout and resending the invite, one or all of the above fixed the issue 👍👍👍 thanks guys!",account_login,,True,ambiguous - matches multiple intent patterns
GS_0034,Can't login please help,account_login,,False,
GS_0035,"no just the message: loading, please wait... - and so nothing happens on the credit card update site.",premium_billing,,False,
GS_0036,"I know, but your UI is saying that I’m at 1k+ of 4k+ downloads. It seems like it should say 1k+ of 3,333. ;)",download_offline,,False,
GS_0037,There’s no reason for my downloads to be removed! And sometimes it happens to some artists I think you should fix the app,download_offline,,False,
GS_0038,"nop no diff, still ""This song is not available. If you have the file on your computer you can import it.""",content_search,,False,
GS_0039,Sure - where do I find the email address that I used? I can only find my username. Thank you!,account_login,,True,ambiguous - matches multiple intent patterns
GS_0040,"Just switched from a S7 to S8...Facebook login takes me to a nonpremium account that has none if my playlists, songs etc.",account_login,,True,ambiguous - matches multiple intent patterns
GS_0041,"i tried desktop app, iphone app, ipad app, and web player. i gave up and bought the songs on itunes. it was for a funeral this am.",general_inquiry,,False,
GS_0042,"Well, I’m a premium member of Spotify because it’s 200% worth it, and I’ve been getting adds recently... is that new?",premium_billing,,False,
GS_0043,Sharing it still not working. Uninstalled/reinstalled - saw the app did an update - no phone updates. Please send help.,app_bug,,False,
GS_0044,"Everything else works, it's just that the music won't play.",playback_issue,,False,
GS_0045,"Unfortunately that means I will be subscribing to Apple Music, a family account not suitable for a family not the best idea !!",premium_billing,,False,
GS_0046,I’m on free because premium cost money and like I listen to a playlist with numerous artists and then it creates a radio for it which confuses me because I don’t read which one is which.,premium_billing,,False,
